Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Benin,11.1503601074219,13.2077798843384,12.968409538269,14.138500213623,15.4769296646118,18.6699905395508,19.4752807617188,21.1817092895508,23.0585803985596,,25.083309173584,28.2178993225098,29.7774906158447,34.1879615783691,39.5081596374512,,,,52.2048416137695,,57.2166290283203,62.9200210571289,64.4668502807617,70.1695404052734,71.6975402832031,73.3267593383789,73.0627365112305,,,58.6740684509277,57.393440246582,67.2795181274414,61.853141784668,
Burkina Faso,13.8866500854492,14.6603002548218,20.8429794311523,18.6260108947754,19.6202697753906,14.7155799865723,17.3873805999756,,,17.9364891052246,19.560359954834,20.4312191009521,21.6695804595947,23.5939292907715,24.9944591522217,26.4574699401855,28.0285491943359,29.778169631958,33.2407112121582,39.1826095581055,43.1958999633789,49.9376678466797,54.7807312011719,61.2615394592285,61.5311317443848,61.8921318054199,62.2848510742188,64.1177062988281,65.4495468139648,65.1451110839844,66.192253112793,68.6767807006836,63.7592086791992,57.2794990539551
Bangladesh,,,,,,,,,,,,,,,,68.1407012939453,,,59.9092597961426,65.9158630371094,68.5115203857422,,,,,,,,,,,122.023803710938,114.66185760498,115.554016113281
Bulgaria,101.674697875977,95.0087203979492,90.7816619873047,86.9013290405273,87.1415481567383,85.6811828613281,89.4873428344727,91.5762023925781,92.9882888793945,93.8439025878906,95.5269927978516,100.304046630859,101.527702331543,101.943962097168,102.79443359375,104.744163513184,107.543296813965,103.991546630859,103.244132995605,100.916191101074,99.534797668457,99.2872924804688,99.0352325439453,99.8572387695312,98.8547515869141,99.2664794921875,98.5221405029297,98.7016296386719,97.3978500366211,96.7766036987305,97.914909362793,92.7438812255859,95.4121017456055,
Bahrain,,100.08757019043,93.4484176635742,86.9201507568359,80.4548568725586,81.8630676269531,81.1667175292969,,83.9710998535156,87.2688598632812,87.459602355957,88.7496032714844,92.4941711425781,92.5391311645508,97.327392578125,97.1565399169922,,,,,,94.4056930541992,98.2040786743164,103.3828125,103.69815826416,99.778923034668,101.282348632812,99.2511520385742,100.607452392578,99.507942199707,,,93.4154281616211,89.6756973266602
"Bahamas, The",,,,,,,,,,78.5642700195312,,,,,,92.9274826049805,85.7822723388672,89.4035720825195,87.7093276977539,87.0581207275391,79.5086898803711,87.8679809570312,84.2370376586914,76.0441513061523,77.3301315307617,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,72.4389266967773,77.5280914306641,77.1656036376953,76.0282516479492,84.2961807250977,91.3972396850586,90.0918197631836,90.15966796875,87.6003036499023,91.4811782836914,89.3832168579102,89.2675933837891,86.5141220092773,86.3625335693359
Belarus,,,,90.1547698974609,91.5576629638672,90.1920623779297,86.7380294799805,90.2350234985352,,96.5962295532227,101.870559692383,106.227569580078,128.950897216797,102.711761474609,101.271202087402,99.7501907348633,98.7065505981445,97.5204925537109,93.1044921875,,,97.5074310302734,96.3839111328125,93.7441787719727,93.2107772827148,92.9050521850586,94.2034072875977,94.4354629516602,96.189453125,97.9814834594727,94.544677734375,92.6838989257812,91.0230331420898,91.6238327026367
Belize,,,94.0415496826172,,,92.5994110107422,98.5358734130859,,,96.1891784667969,96.491813659668,103.410949707031,,101.39924621582,100.703147888184,102.170639038086,99.9123077392578,105.803321838379,98.3411712646484,102.434463500977,97.6375885009766,103.91349029541,109.451461791992,103.265090942383,102.833381652832,105.075477600098,105.980667114258,102.453826904297,104.173347473145,103.027030944824,105.125411987305,111.152313232422,103.984397888184,92.7203063964844
Bermuda,,,,,,,,,,,,103.394256591797,108.60758972168,106.426742553711,,,,,,,,97.9350967407227,91.7647094726562,111.006286621094,,,,,,,,,,
